"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY_NR";"DIGIKEY_PRICE";"SPICEPREFIX";
"1";"";"LEDSML0603";"SML0603";"LED1";"LED";"";"";"";
"1";"100";"R-EU_R0603";"R0603";"R9";"RESISTOR, European symbol";"";"";"R";
"2";"100n";"C-EUC0603";"C0603";"C1, C4";"CAPACITOR, European symbol";"";"";"C";
"1";"1u";"C-EUC0603";"C0603";"C3";"CAPACITOR, European symbol";"";"";"C";
"1";"2k2";"R-EU_R0805W";"R0805W";"R11";"RESISTOR, European symbol";"408-1635-1-ND";"4.37";"R";
"1";"330n";"C-EUC0603";"C0603";"C2";"CAPACITOR, European symbol";"";"";"C";
"1";"33PIN-2.54";"33PIN-2.54";"1X33";"X1";"";"";"";"";
"1";"4.7k";"R-EU_R0603";"R0603";"R10";"RESISTOR, European symbol";"";"";"R";
"7";"47";"R-EU_R0603";"R0603";"R2, R3, R4, R5, R6, R7, R8";"RESISTOR, European symbol";"";"";"R";
"3";"A97581-ND";"A97581-ND";"1634503";"X3, X4, X5";"";"A97581-ND";"1.73";"";
"1";"ADS124S0XIPBS";"ADS124S0XIPBS";"TQFP32-05";"IC1";"";"";"";"";
"1";"MKDSN1,5/3-5,08";"MKDSN1,5/3-5,08";"MKDSN1,5/3-5,08";"X2";"MKDSN 1,5/ 3-5,08 Printklemme";"277-14503-ND";"1.57";"";
